SR:0.450000, AS:302.177778, SPL:0.027303, AR:0.099381
0c90efff2ab302c6f31add26cd698bea bed -13 -4 1
0c9a666391cc08db7d6ca1a926183a76 sofa 22 -2 3
0c90efff2ab302c6f31add26cd698bea tv_stand -33 -4 1
0c9a666391cc08db7d6ca1a926183a76 sofa 16 -5 2
5cf0e1e9493994e483e985c436b9d3bc toilet -13 28 3
00d9be7210856e638fa3b1addf2237d6 television -6 7 1
0c9a666391cc08db7d6ca1a926183a76 toilet 16 -5 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 14 1 0
5cf0e1e9493994e483e985c436b9d3bc television -4 30 3
0c90efff2ab302c6f31add26cd698bea tv_stand -31 -18 1
5cf0e1e9493994e483e985c436b9d3bc television -6 18 0
00d9be7210856e638fa3b1addf2237d6 sofa 11 2 1
0c90efff2ab302c6f31add26cd698bea toilet -37 10 1
0c90efff2ab302c6f31add26cd698bea bed -28 -13 3
0c90efff2ab302c6f31add26cd698bea bathtub -33 0 2
0c90efff2ab302c6f31add26cd698bea television -38 -10 2
0c9a666391cc08db7d6ca1a926183a76 sofa 16 -7 2
00d9be7210856e638fa3b1addf2237d6 sofa 4 7 2
5cf0e1e9493994e483e985c436b9d3bc television 13 21 1
00d9be7210856e638fa3b1addf2237d6 tv_stand 10 2 2
0c90efff2ab302c6f31add26cd698bea bed -11 -9 0
00d9be7210856e638fa3b1addf2237d6 television 8 3 2
00d9be7210856e638fa3b1addf2237d6 tv_stand 2 3 3
5cf0e1e9493994e483e985c436b9d3bc toilet -14 28 1
5cf0e1e9493994e483e985c436b9d3bc bathtub -7 33 1
00d9be7210856e638fa3b1addf2237d6 sofa -3 -3 3
5cf0e1e9493994e483e985c436b9d3bc toilet -10 29 0
5cf0e1e9493994e483e985c436b9d3bc television -4 19 0
0c90efff2ab302c6f31add26cd698bea bed -33 -18 2
5cf0e1e9493994e483e985c436b9d3bc bed -5 25 0
5cf0e1e9493994e483e985c436b9d3bc bathtub -12 24 1
0c90efff2ab302c6f31add26cd698bea toilet -33 4 1
0c90efff2ab302c6f31add26cd698bea bathtub -37 3 2
00d9be7210856e638fa3b1addf2237d6 television 8 5 1
5cf0e1e9493994e483e985c436b9d3bc bathtub -12 28 1
0c90efff2ab302c6f31add26cd698bea toilet -31 10 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 14 1 3
5cf0e1e9493994e483e985c436b9d3bc tv_stand 13 14 3
0c90efff2ab302c6f31add26cd698bea sofa -37 7 3
0c90efff2ab302c6f31add26cd698bea sofa -33 -4 3
5cf0e1e9493994e483e985c436b9d3bc bathtub -3 28 3
0c9a666391cc08db7d6ca1a926183a76 tv_stand 29 -5 1
00d9be7210856e638fa3b1addf2237d6 television 0 1 2
00d9be7210856e638fa3b1addf2237d6 television 1 6 2
5cf0e1e9493994e483e985c436b9d3bc bed -5 30 2
0c90efff2ab302c6f31add26cd698bea bed -20 -5 1
00d9be7210856e638fa3b1addf2237d6 sofa 1 6 2
00d9be7210856e638fa3b1addf2237d6 television -2 -2 1
0c90efff2ab302c6f31add26cd698bea television -23 -12 3
0c90efff2ab302c6f31add26cd698bea bed -34 -11 0
5cf0e1e9493994e483e985c436b9d3bc bathtub -4 31 3
5cf0e1e9493994e483e985c436b9d3bc tv_stand -10 18 1
0c9a666391cc08db7d6ca1a926183a76 television 22 -7 0
0c9a666391cc08db7d6ca1a926183a76 sofa 11 -4 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 8 -8 3
00d9be7210856e638fa3b1addf2237d6 sofa 8 4 2
0c90efff2ab302c6f31add26cd698bea bed -29 -7 2
5cf0e1e9493994e483e985c436b9d3bc bed -9 30 1
00d9be7210856e638fa3b1addf2237d6 tv_stand 7 7 1
00d9be7210856e638fa3b1addf2237d6 sofa -6 -5 0
5cf0e1e9493994e483e985c436b9d3bc sofa -17 13 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 19 -5 3
00d9be7210856e638fa3b1addf2237d6 television -6 0 3
00d9be7210856e638fa3b1addf2237d6 television -7 -10 0
0c90efff2ab302c6f31add26cd698bea tv_stand -22 -12 0
5cf0e1e9493994e483e985c436b9d3bc sofa 11 4 0
0c9a666391cc08db7d6ca1a926183a76 toilet 14 -5 1
00d9be7210856e638fa3b1addf2237d6 television -1 5 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 14 -8 1
0c9a666391cc08db7d6ca1a926183a76 bathtub 16 -7 2
00d9be7210856e638fa3b1addf2237d6 television 5 4 0
0c90efff2ab302c6f31add26cd698bea bed -38 -11 2
5cf0e1e9493994e483e985c436b9d3bc bathtub -2 26 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 11 0 3
0c9a666391cc08db7d6ca1a926183a76 sofa 19 -10 2
00d9be7210856e638fa3b1addf2237d6 sofa -5 -7 2
5cf0e1e9493994e483e985c436b9d3bc bathtub -1 26 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 27 -10 2
00d9be7210856e638fa3b1addf2237d6 tv_stand 1 4 3
5cf0e1e9493994e483e985c436b9d3bc bed -6 32 1
5cf0e1e9493994e483e985c436b9d3bc bed -6 24 3
5cf0e1e9493994e483e985c436b9d3bc bathtub -13 24 0
5cf0e1e9493994e483e985c436b9d3bc tv_stand -2 19 0
5cf0e1e9493994e483e985c436b9d3bc sofa -2 7 1
5cf0e1e9493994e483e985c436b9d3bc television -2 20 2
0c90efff2ab302c6f31add26cd698bea bed -20 -20 1
00d9be7210856e638fa3b1addf2237d6 television -5 -8 2
5cf0e1e9493994e483e985c436b9d3bc sofa -5 18 1
0c90efff2ab302c6f31add26cd698bea sofa -30 -8 3
0c90efff2ab302c6f31add26cd698bea tv_stand -33 -4 2
0c90efff2ab302c6f31add26cd698bea bathtub -33 0 0
5cf0e1e9493994e483e985c436b9d3bc tv_stand 9 20 2
5cf0e1e9493994e483e985c436b9d3bc tv_stand 10 9 0
00d9be7210856e638fa3b1addf2237d6 television 0 3 2
